ID;age;gender
sub-093;24;1
sub-096;22;2
sub-101;26;2
sub-103;18;1
sub-105;24;2
sub-119;35;2
sub-123;19;2
sub-125;26;1
sub-126;18;1
sub-127;22;1
sub-007;41;2
sub-008;39;2
sub-009;22;1
sub-012;23;1
sub-020;21;2
sub-035;24;1
sub-036;32;1
sub-037;27;2
sub-038;24;2
sub-039;20;2
sub-042;21;2
sub-044;22;1
sub-048;21;1
sub-049;52;1
sub-061;35;1
sub-064;30;2
sub-065;22;2
sub-066;19;2
sub-072;20;2
sub-075;25;1
sub-076;23;2
sub-077;22;2
sub-081;25;1
sub-082;27;1
sub-084;34;1
sub-087;22;1
sub-092;43;1
sub-094;28;2
sub-095;21;1
sub-097;21;2
sub-098;34;1
sub-100;26;2
sub-102;22;2
sub-104;22;1
sub-106;21;1
sub-107;21;1
sub-108;29;2
sub-109;24;2
sub-110;30;2
sub-111;29;2
sub-113;23;2
sub-114;23;1
sub-115;22;1
sub-116;22;2
sub-117;22;2
sub-118;18;1
sub-121;23;1
sub-122;22;1
sub-124;19;1
sub-128;22;2
sub-129;22;1
sub-130;20;1
sub-131;22;2
sub-004;29;2
sub-006;23;1
sub-010;23;2
sub-011;19;1
sub-014;27;2
sub-015;22;1
sub-016;18;2
sub-017;36;2
sub-018;26;2
sub-019;28;2
sub-022;29;2
sub-024;26;2
sub-025;22;1
sub-027;22;1
sub-028;32;1
sub-029;25;1
sub-030;23;1
sub-031;32;2
sub-032;22;2
sub-033;26;2
sub-034;21;2
sub-041;26;2
sub-043;21;1
sub-045;25;2
sub-046;33;1
sub-047;25;1
sub-050;30;1
sub-051;18;1
sub-052;30;2
sub-053;38;1
sub-054;21;1
sub-056;23;1
sub-057;27;1
sub-059;44;1
sub-062;36;1
sub-068;22;1
sub-069;30;1
sub-070;21;1
sub-071;21;1
sub-073;28;2
sub-074;21;2
sub-079;27;2
sub-080;33;2
sub-083;36;1
sub-085;23;1
sub-086;24;2
sub-089;25;1
sub-090;25;1
sub-091;41;1
sub-093;24;1
sub-096;22;2
sub-101;26;2
sub-103;18;1
sub-105;24;2
sub-119;35;2
sub-123;19;2
sub-125;26;1
sub-126;18;1
sub-127;22;1
sub-007;41;2
sub-008;39;2
sub-009;22;1
sub-012;23;1
sub-020;21;2
sub-035;24;1
sub-036;32;1
sub-037;27;2
sub-038;24;2
sub-039;20;2
sub-042;21;2
sub-044;22;1
sub-048;21;1
sub-049;52;1
sub-061;35;1
sub-064;30;2
sub-065;22;2
sub-066;19;2
sub-072;20;2
sub-075;25;1
sub-076;23;2
sub-077;22;2
sub-081;25;1
sub-082;27;1
sub-084;34;1
sub-087;22;1
sub-092;43;1
sub-094;28;2
sub-095;21;1
sub-097;21;2
sub-098;34;1
sub-100;26;2
sub-102;22;2
sub-104;22;1
sub-106;21;1
sub-107;21;1
sub-108;29;2
sub-109;24;2
sub-110;30;2
sub-111;29;2
sub-113;23;2
sub-114;23;1
sub-115;22;1
sub-116;22;2
sub-117;22;2
sub-118;18;1
sub-121;23;1
sub-122;22;1
sub-124;19;1
sub-128;22;2
sub-129;22;1
sub-130;20;1
sub-131;22;2
sub-004;29;2
sub-006;23;1
sub-010;23;2
sub-011;19;1
sub-014;27;2
sub-015;22;1
sub-016;18;2
sub-017;36;2
sub-018;26;2
sub-019;28;2
sub-022;29;2
sub-024;26;2
sub-025;22;1
sub-027;22;1
sub-028;32;1
sub-029;25;1
sub-030;23;1
sub-031;32;2
sub-032;22;2
sub-033;26;2
sub-034;21;2
sub-041;26;2
sub-043;21;1
sub-045;25;2
sub-046;33;1
sub-047;25;1
sub-050;30;1
sub-051;18;1
sub-052;30;2
sub-053;38;1
sub-054;21;1
sub-056;23;1
sub-057;27;1
sub-059;44;1
sub-062;36;1
sub-068;22;1
sub-069;30;1
sub-070;21;1
sub-071;21;1
sub-073;28;2
sub-074;21;2
sub-079;27;2
sub-080;33;2
sub-083;36;1
sub-085;23;1
sub-086;24;2
sub-089;25;1
sub-090;25;1
sub-091;41;1
sub-093;24;1
sub-096;22;2
sub-101;26;2
sub-103;18;1
sub-105;24;2
sub-119;35;2
sub-123;19;2
sub-125;26;1
sub-126;18;1
sub-127;22;1
sub-007;41;2
sub-008;39;2
sub-009;22;1
sub-012;23;1
sub-020;21;2
sub-035;24;1
sub-036;32;1
sub-037;27;2
sub-038;24;2
sub-039;20;2
sub-042;21;2
sub-044;22;1
sub-048;21;1
sub-049;52;1
sub-061;35;1
sub-064;30;2
sub-065;22;2
sub-066;19;2
sub-072;20;2
sub-075;25;1
sub-076;23;2
sub-077;22;2
sub-081;25;1
sub-082;27;1
sub-084;34;1
sub-087;22;1
sub-092;43;1
sub-094;28;2
sub-095;21;1
sub-097;21;2
sub-098;34;1
sub-100;26;2
sub-102;22;2
sub-104;22;1
sub-106;21;1
sub-107;21;1
sub-108;29;2
sub-109;24;2
sub-110;30;2
sub-111;29;2
sub-113;23;2
sub-114;23;1
sub-115;22;1
sub-116;22;2
sub-117;22;2
sub-118;18;1
sub-121;23;1
sub-122;22;1
sub-124;19;1
sub-128;22;2
sub-129;22;1
sub-130;20;1
sub-131;22;2
